文章ID,標題,內文簡介,學校匿名,個人主頁顯示,pinned,版ID,回應的文章ID,發文時間,更新時間,回覆數,按讚數,withNickname,tags,主題標籤,meta,版中文名,版英文名,nsfw,作者性別,作者學校,回應的文章的標題,reportReason,mediaMeta,reactions,hidden,customStyle,isSuspiciousAccount,isModerator,頁面版型,spoilerAlert,isSelectedPost,unsafe,enableNestedComment,totalCommentCount,是否使用圖片,是否使用影片,媒體連結,reportReasonText,supportedReactions,elapsedTime,excerptComments,edited,collectionCount,postAvatar,activityAvatar,verifiedBadge,memberType,enablePrivateMessage,個人主頁,downgradeLevel,hiddenWhenListBy,連結（版型為連結才有）
238975816,【論】鬥X工作室 留言區的種族歧視言論？,我常常在爆紅很久的鬥X工作室頻道底下留言區看到有關種族的玩笑，他們的觀眾好像也普遍覺得這類的玩笑很有趣，不知道是我太敏感還是這些玩笑真的滿不妥的，以下放幾張留言截圖：-----------------,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:37:37.688Z,2022-05-24T07:37:37.688Z,0,0,False,[],"['留言', '種族歧視', '工作室', '閒聊']",{'layout': 'classic'},閒聊,talk,False,F,國立臺灣藝術大學,,,"[{'id': 'eed615bf-2eb8-4583-a449-5f3b711f4ead', 'url': 'https://i.imgur.com/K5Q6jNHl.jpg', 'normalizedUrl': 'https://i.imgur.com/K5Q6jNHl.jpg', 'thumbnail': 'https://i.imgur.com/K5Q6jNHl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 862, 'height': 614}, {'id': 'eed615bf-2eb8-4583-a449-5f3b711f4ead', 'url': 'https://i.imgur.com/K5Q6jNH.jpg', 'normalizedUrl': 'https://imgur.com/K5Q6jNH', 'thumbnail': 'https://i.imgur.com/K5Q6jNHl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 862, 'height': 614}, {'id': '3c5ff69a-441e-48c0-9756-726c90fd221d', 'url': 'https://i.imgur.com/42hwwcJ.jpg', 'normalizedUrl': 'https://imgur.com/42hwwcJ', 'thumbnail': 'https://i.imgur.com/42hwwcJl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 770, 'height': 198}, {'id': 'ee5d358d-1b26-43de-98b6-797df3e12063', 'url': 'https://i.imgur.com/wefFhZQ.jpg', 'normalizedUrl': 'https://imgur.com/wefFhZQ', 'thumbnail': 'https://i.imgur.com/wefFhZQl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 868, 'height': 238}, {'id': '9cf61acd-856b-4bdd-b14e-51a0921e341c', 'url': 'https://i.imgur.com/PGcwwHa.jpg', 'normalizedUrl': 'https://imgur.com/PGcwwHa', 'thumbnail': 'https://i.imgur.com/PGcwwHal.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 778, 'height': 722}, {'id': '27520dac-23d2-4a15-b2d4-3f69ac35c441', 'url': 'https://i.imgur.com/32JlFpp.jpg', 'normalizedUrl': 'https://imgur.com/32JlFpp', 'thumbnail': 'https://i.imgur.com/32JlFppl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 842, 'height': 932}, {'id': '24f27793-abc0-42ce-a3f7-ee5c98b45e16', 'url': 'https://i.imgur.com/sGPkd4V.jpg', 'normalizedUrl': 'https://imgur.com/sGPkd4V', 'thumbnail': 'https://i.imgur.com/sGPkd4Vl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 774, 'height': 288}, {'id': 'aa196992-deeb-433a-b0b8-8a6bc3b35ae1', 'url': 'https://i.imgur.com/8Jjsh21.jpg', 'normalizedUrl': 'https://imgur.com/8Jjsh21', 'thumbnail': 'https://i.imgur.com/8Jjsh21l.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 784, 'height': 182}, {'id': 'fd8d6e0e-025d-4550-919a-3630a7e23c32', 'url': 'https://i.imgur.com/5EHa6Xy.jpg', 'normalizedUrl': 'https://imgur.com/5EHa6Xy', 'thumbnail': 'https://i.imgur.com/5EHa6Xyl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-05-24T07:37:37.688Z', 'updatedAt': '2022-05-24T07:37:37.688Z', 'width': 794, 'height': 158}]",[],False,,False,False,classic,False,False,False,True,0,True,False,"[{'url': 'https://i.imgur.com/K5Q6jNH.jpg'}, {'url': 'https://i.imgur.com/42hwwcJ.jpg'}, {'url': 'https://i.imgur.com/wefFhZQ.jpg'}, {'url': 'https://i.imgur.com/PGcwwHa.jpg'}, {'url': 'https://i.imgur.com/32JlFpp.jpg'}, {'url': 'https://i.imgur.com/sGPkd4V.jpg'}, {'url': 'https://i.imgur.com/8Jjsh21.jpg'}, {'url': 'https://i.imgur.com/5EHa6Xy.jpg'}]",,,145,[],False,0,,,False,,,,,,
238975815,在補習班遇到心儀的女生,今年下定決心報考了司律補習班想要認真拚一下，補習費都給它催下去了…，前幾天去保成補習班拿講義時，看到了一位女生的長相讓我十分驚艷！！，本來在進去補習班的時候，就有發現這女生的眼睛很美（是那種會笑的眼睛️,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:37:33.740Z,2022-05-24T07:37:33.740Z,1,0,False,['HIDE_THUMBNAIL'],"['補習班', '遇到', '心儀', '正妹', '律師']",{'layout': 'classic'},閒聊,talk,False,M,國立臺北大學,,,[],[],False,,False,False,classic,False,False,False,True,1,False,False,[],,,149,[],False,0,,,False,,,,,,
238975796,到底要怎樣才能讓男生尿不滴到馬桶上？,這件事情困擾了我很久，所以想請大家幫忙集思廣益，事情是這樣的，本人與一對大學生情侶同住一個屋簷後，情侶很多其他奇葩的行為真是讓我傻爆眼，但因為跟今天要講的主題無關，就不在這裡贅述，總之我和他們一起共用,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:35:51.128Z,2022-05-24T07:35:51.128Z,1,0,False,['HIDE_THUMBNAIL'],"['馬桶', '男生']",{'layout': 'classic'},閒聊,talk,False,F,國立臺北科技大學,,,[],[],False,,False,False,classic,False,False,False,True,1,False,False,[],,,252,[],False,0,,,False,,,,,,
238975774,沒玩過摩爾莊園,最近看版上一堆關於這款遊戲的文章，然後我點進去看一篇關於以前玩過這款遊戲的人現在都幾歲了，大略看一下回應的人年紀都介於15-25左右，而我這個28的老屁股剛好不在這個範圍，我是連聽都沒聽過，點了幾篇懷,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:34:23.846Z,2022-05-24T07:35:44.416Z,0,0,False,[],"['摩爾莊園', '沒玩過']","{'layout': 'classic', 'editedAt': '2022-05-24T07:35:44.421Z'}",閒聊,talk,False,F,國立高雄師範大學,,,"[{'id': '7298ac0c-2d9a-4476-a56f-d409b3726399', 'url': 'https://sticker-assets.dcard.tw/images/97779c9d-9645-4bff-a1e2-313117470be3/orig.png', 'normalizedUrl': 'https://megapx.dcard.tw/v1/images/97779c9d-9645-4bff-a1e2-313117470be3', 'thumbnail': '', 'type': 'image/sticker', 'tags': ['IMAGE_NOT_AVAILABLE'], 'createdAt': '2022-05-24T07:34:23.846Z', 'updatedAt': '2022-05-24T07:35:44.416Z', 'width': 512, 'height': 512}]",[],False,,False,False,classic,False,False,False,True,0,True,False,[{'url': 'https://sticker-assets.dcard.tw/images/97779c9d-9645-4bff-a1e2-313117470be3/orig.png'}],,,339,[],False,0,,,False,,False,,,,
238975768,送禮給對方要選擇看不出價錢的⋯,每次佳節我都會送禮給對方的家人，每次都會想很多 怕太便宜 太貴自己也買不起，想送一些實用的 又不失面子，想到對方的爸爸會泡茶 我在fb上買了茶葉，還有很精緻的禮盒 就看不出價錢了，禮盒也很便宜 我記得,False,False,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:33:44.535Z,2022-05-24T07:33:44.535Z,0,0,False,[],"['送禮', '端午節', '價錢', '男友', '感情']",{'layout': 'classic'},閒聊,talk,False,F,僑光科技大學,,,"[{'id': '65def370-d1e0-4df9-b687-e287bd0d46b4', 'url': 'https://i.imgur.com/QgSADTQl.jpg', 'normalizedUrl': 'https://i.imgur.com/QgSADTQl.jpg', 'thumbnail': 'https://i.imgur.com/QgSADTQl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-05-24T07:33:44.535Z', 'updatedAt': '2022-05-24T07:33:44.535Z', 'width': 1500, 'height': 2000}, {'id': '65def370-d1e0-4df9-b687-e287bd0d46b4', 'url': 'https://i.imgur.com/QgSADTQ.jpg', 'normalizedUrl': 'https://imgur.com/QgSADTQ', 'thumbnail': 'https://i.imgur.com/QgSADTQl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-05-24T07:33:44.535Z', 'updatedAt': '2022-05-24T07:33:44.535Z', 'width': 1500, 'height': 2000}, {'id': 'e253f924-acc1-4fd8-85de-6e459c689401', 'url': 'https://i.imgur.com/FKo6b9r.jpg', 'normalizedUrl': 'https://imgur.com/FKo6b9r', 'thumbnail': 'https://i.imgur.com/FKo6b9rl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-05-24T07:33:44.535Z', 'updatedAt': '2022-05-24T07:33:44.535Z', 'width': 1170, 'height': 1792}]",[],False,,False,False,classic,False,False,False,True,0,True,False,"[{'url': 'https://i.imgur.com/QgSADTQ.jpg'}, {'url': 'https://i.imgur.com/FKo6b9r.jpg'}]",,,378,[],False,0,,,False,,,生活創意設計系,,,
238975724,源吉-實演 是什麼？,跟男友借來的書裡夾了一張發票，雖然過期了但還是想掃看看有沒有中獎，打開發票存摺app 掃完看到內容，有人知道這是什麼嗎🤔，上網找也毫無頭緒，希望不是菸品…,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:27:50.847Z,2022-05-24T07:30:40.146Z,0,1,False,[],"['男友', '男生', '生活', '發票']","{'layout': 'classic', 'editedAt': '2022-05-24T07:30:40.150Z'}",閒聊,talk,False,F,銘傳大學,,,"[{'id': '54fcd597-d3c4-44b9-b8ad-c3aaa30a37e3', 'url': 'https://i.imgur.com/WIvEwzll.jpg', 'normalizedUrl': 'https://i.imgur.com/WIvEwzll.jpg', 'thumbnail': 'https://i.imgur.com/WIvEwzll.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-05-24T07:30:40.146Z', 'updatedAt': '2022-05-24T07:30:40.146Z', 'width': 827, 'height': 811}, {'id': '54fcd597-d3c4-44b9-b8ad-c3aaa30a37e3', 'url': 'https://i.imgur.com/WIvEwzl.jpg', 'normalizedUrl': 'https://imgur.com/WIvEwzl', 'thumbnail': 'https://i.imgur.com/WIvEwzll.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-05-24T07:30:40.146Z', 'updatedAt': '2022-05-24T07:30:40.146Z', 'width': 827, 'height': 811}, {'id': '0a11cecb-e269-4d1f-bc1e-5db88620b39e', 'url': 'https://i.imgur.com/tAKVEg0.jpg', 'normalizedUrl': 'https://imgur.com/tAKVEg0', 'thumbnail': 'https://i.imgur.com/tAKVEg0l.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-05-24T07:30:40.146Z', 'updatedAt': '2022-05-24T07:30:40.146Z', 'width': 827, 'height': 1488}]","[{'id': '286f599c-f86a-4932-82f0-f5a06f1eca03', 'count': 1}]",False,,False,False,classic,False,False,False,True,0,True,False,"[{'url': 'https://i.imgur.com/WIvEwzl.jpg'}, {'url': 'https://i.imgur.com/tAKVEg0.jpg'}]",,,732,[],False,0,,,False,,False,,,,
238975675,看清一個人，會和這種人繼續當朋友嗎？,前陣子和高中同學和好了，應該是說其實沒怎樣 她自己個人脾氣而導致我們不再聊天，畢業後兩年因為一件事讓兩個人又繼續聊天了。聊到至今也差不多5、6個月 最近又沒繼續聊了 。（這位同學家境生活不是很好 但我,False,False,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:22:41.744Z,2022-05-24T07:22:41.744Z,0,0,True,['HIDE_THUMBNAIL'],['朋友'],{'layout': 'classic'},閒聊,talk,False,F,我是正常人,,,[],[],False,,False,False,classic,False,False,False,True,0,False,False,[],,,1041,[],False,0,,,False,,,kelly0227,,,
238975610,IG變醜有解嗎？😭😭😭,今天早上打開ig發現貼文突然變成這樣好醜 限動變色我覺得滿好看的但是貼文……感覺照片整個黑一階ಥ_ಥ，請問這樣有解嗎？,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:14:06.908Z,2022-05-24T07:14:06.908Z,0,0,False,[],['ig'],{'layout': 'classic'},閒聊,talk,False,F,國立中興大學,,,"[{'id': '8e829f74-af25-459c-9a0a-faae2e042930', 'url': 'https://i.imgur.com/Vtk2APAl.jpg', 'normalizedUrl': 'https://i.imgur.com/Vtk2APAl.jpg', 'thumbnail': 'https://i.imgur.com/Vtk2APAl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-05-24T07:14:06.908Z', 'updatedAt': '2022-05-24T07:14:06.908Z', 'width': 750, 'height': 1334}, {'id': '8e829f74-af25-459c-9a0a-faae2e042930', 'url': 'https://i.imgur.com/Vtk2APA.jpg', 'normalizedUrl': 'https://imgur.com/Vtk2APA', 'thumbnail': 'https://i.imgur.com/Vtk2APAl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-05-24T07:14:06.908Z', 'updatedAt': '2022-05-24T07:14:06.908Z', 'width': 750, 'height': 1334}]",[],False,,False,False,classic,False,False,False,True,0,True,False,[{'url': 'https://i.imgur.com/Vtk2APA.jpg'}],,,1556,[],False,0,,,False,,,,,,
238975607,#原子少年 這段在幹嘛啦🤣,怎麼會有男團成員在跳體操，我快笑瘋，被撞到還給我一臉茫然繼續跳,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:13:58.432Z,2022-05-24T07:13:58.432Z,2,4,False,['HIDE_THUMBNAIL'],['原子少年'],{'layout': 'classic'},閒聊,talk,False,F,中國醫藥大學,,,"[{'id': '0db68d52-1855-4f4b-97bf-f709cf3e0486', 'url': 'https://www.dcard.tw/v2/vivid/videos/47641f7b-98d8-462d-b0c0-36a52a807489?r=2.1621621621621623', 'normalizedUrl': '', 'thumbnail': 'https://vivid.dcard.tw/Public/47641f7b-98d8-462d-b0c0-36a52a807489/thumbnail.jpg', 'type': 'video/vivid', 'tags': ['ANNOTATED_FAILED'], 'createdAt': '2022-05-24T07:13:58.432Z', 'updatedAt': '2022-05-24T07:13:58.432Z'}]","[{'id': '286f599c-f86a-4932-82f0-f5a06f1eca03', 'count': 4}]",False,,False,False,classic,False,False,False,True,2,True,True,[],,,1564,[],False,0,,,False,,,,,,
238975597,男友的貓討厭我,目前跟男友交往一年左右，基本上假日或放假都會去男友家過夜，男友自己養了兩隻貓，但其中一隻貓對我非常不友善，約兩歲，米克斯，幼時是流浪貓，男友後來撿去養。平常只要去男友家，那隻貓基本上就會對我低聲怒吼，,False,True,False,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-05-24T07:12:44.226Z,2022-05-24T07:12:44.226Z,1,0,False,['HIDE_THUMBNAIL'],"['男友', '討厭', '貓']",{'layout': 'classic'},閒聊,talk,False,F,國立臺灣藝術大學,,,[],[],False,,False,False,classic,False,False,False,True,1,False,False,[],,,1639,[],False,0,,,False,,,,,,
